source,source_doi,source_coda_id,recording_id,date,time_in_recording_s,n_clicks,coda_duration_s,whale_photo_id,local_speaker_id,social_unit,clan,coda_type,location,latitude,longitude,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,ICI40
sharma2024_dswp,10.1038/s41467-024-47221-8,69,,05/02/2009,,5,0.816,5719,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.258,0.27,0.148,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,70,,05/02/2009,,5,0.862,5719,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.269,0.265,0.181,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,71,,05/02/2009,,5,0.809,5719,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.251,0.28,0.15,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,72,,20/01/2010,,5,0.819,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.191,0.292,0.182,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,73,,20/01/2010,,5,0.881,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.281,0.27,0.187,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,74,,20/01/2010,,5,0.873,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.264,0.279,0.186,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,75,,20/01/2010,,5,0.875,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.274,0.265,0.189,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,76,,20/01/2010,,5,0.887,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.268,0.291,0.19,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,77,,20/01/2010,,5,0.178,,,A,EC1,5-NOISE,"Dominica, Eastern Caribbean",,,0.036,0.032,0.044,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,78,,20/01/2010,,5,0.259,,,A,EC1,5R1,"Dominica, Eastern Caribbean",,,0.054,0.066,0.064,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,79,,20/01/2010,,5,0.917,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.307,0.304,0.168,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,80,,20/01/2010,,5,0.903,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.268,0.301,0.176,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,81,,20/01/2010,,5,1.049,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.357,0.317,0.217,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,82,,20/01/2010,,5,1.139,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.375,0.369,0.216,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,83,,20/01/2010,,5,1.187,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.385,0.403,0.208,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,84,,20/01/2010,,5,0.858,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.232,0.311,0.159,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,85,,20/01/2010,,5,0.915,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.278,0.305,0.189,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,86,,20/01/2010,,5,1.211,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.408,0.405,0.219,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,87,,20/01/2010,,5,1.235,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.417,0.412,0.226,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,88,,20/01/2010,,5,1.078,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.368,0.352,0.203,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,89,,20/01/2010,,5,1.065,,,A,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.337,0.357,0.219,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,90,,20/01/2010,,9,0.973,,,A,EC1,9i,"Dominica, Eastern Caribbean",,,0.167,0.21,0.122,0.089,0.08,0.082,0.088,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
