codanum,focal,whale,codatype,Duration,handv
6291,True,FORK,9-NOISE,1.4593583,i
6292,True,FORK,10-NOISE,1.8157834,i
6330,True,FORK,1+1+3,1.3567,i
6331,True,FORK,1+1+3,1.3458955,a
6332,True,FORK,1+1+3,1.3563166,a
6333,True,FORK,1+1+3,1.3053167,i
6334,True,FORK,1+1+3,1.341375,i
6335,True,FORK,1+1+3,1.3566917,i
6336,True,FORK,1+1+3,1.2858417,i
6337,True,FORK,1+1+3,1.3185502,i
6338,True,FORK,1+1+3,1.3523167,i
6339,True,FORK,1+1+3,1.2745834,i
6340,True,FORK,1+1+3,1.2901417,i
6341,True,FORK,1+1+3,1.26988,i
6342,True,FORK,1+1+3,1.23925,i
6343,True,FORK,1+1+3,1.2986333,i
6344,True,FORK,1+1+3,1.2991166,i
6345,True,FORK,1+1+3,1.30265,i
6346,True,FORK,1+1+3,1.2958667,i
6347,True,FORK,1+1+3,1.2840666,i
6348,True,FORK,6-NOISE,1.3853416,i
6349,True,FORK,6-NOISE,1.349475,i
6350,True,FORK,1+1+3,1.2569666,i
6381,True,FORK,8i,0.3570083,a
6382,True,FORK,9i,0.4633583,a
6383,True,FORK,8i,0.3738416,a
6384,True,FORK,9i,0.4501084,a
6390,True,NALGENE,1+1+3,0.7895784,a
6391,True,NALGENE,4R2,0.9918333,a
6392,True,NALGENE,5R3,1.1252333,a
6393,True,NALGENE,2-NOISE,0.1070334,
6394,True,NALGENE,1-NOISE,0.0,
6395,True,NALGENE,3-NOISE,0.3128583,
6396,True,NALGENE,2-NOISE,0.0686583,
6397,True,NALGENE,3-NOISE,0.3489916,
6398,True,NALGENE,3-NOISE,0.3851167,
6399,True,NALGENE,3-NOISE,0.3724807,
6400,True,NALGENE,2-NOISE,0.2117615,
6401,True,NALGENE,9i,0.687925,a
6402,True,,2-NOISE,0.2486007,
6404,True,TWEAK,1+1+3,0.7743333,i
6405,True,TWEAK,1+1+3,0.7578917,i
6406,True,TWEAK,1+1+3,0.69235,a
6431,True,TWEAK,1+1+3,0.7842167,
6432,True,TWEAK,1+1+3,0.7505584,
6433,True,TWEAK,1+1+3,0.7246583,
6434,True,TWEAK,5-NOISE,0.6963917,
6435,True,TWEAK,1+1+3,0.7975417,
6444,True,TWEAK,6i,0.3246834,a
6445,True,TWEAK,5R1,0.3359833,a
6446,True,TWEAK,5R1,0.3643167,a
6447,True,TWEAK,5R1,0.37045,a
6448,True,TWEAK,1+1+3,0.7381834,a
